nombreEscuela,seccionEscuela
ESC. DE COMERCIO 33 - MAIPU,5°1°
ESC. DE COMERCIO 33 - MAIPU,5°1°
ESC. DE COMERCIO 34 - MONSEÑOR DE ANDREA,5°1°
ESC. DE COMERCIO 34 - MONSEÑOR DE ANDREA,5°1°
ESC. DE COMERCIO 35 - L. MARECHAL,5°1°
EEM 1 - D.E. 7,5°1°
EEM 1 - D.E. 12 - JULIO CORTAZAR,5°1°
EEM 1 - D.E. 13 - MANUEL MUJICA LAINEZ,5°1°
EEM 1 - D.E. 14 - FEDERICO GARCIA LORCA,5°1°
EEM 1 - D.E. 16 - RODOLFO WALSH,5°1°
EEM 1 - D.E. 21,5°1°
EEM 2 - D.E. 13,5°1°
EEM 2 - D.E. 14 - ARGENTINOS JUNIORS,5°1°
EEM 2 - D.E. 16 - AGUSTIN TOSCO,5°1°
EEM 2 - D.E. 17 - RUMANIA,5°1°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°1°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°1°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°1°
EEM 2 - D.E. 20,5°1°
EEM 3 - D.E. 4,5°1°
EEM 3 - D.E. 4,5°1°
EEM 3 - D.E. 7 - OSVALDO PUGLIESE,5°1°
EEM 3 - D.E. 10,5°1°
EEM 3 - D.E. 17 - ANTONIO DEVOTO,5°1°
EEM 3 - D.E. 19 - PROF. CARLOS GENISO,5°1°
EEM 4 - D.E. 19 - HOMERO MANZI,5°1°
EEM 5 - D.E. 10 - HEROES DE MALVINAS,5°1°
EEM 5 - D.E. 19,5°1°
EEM 5 - D.E. 21 - JUAN MANUEL FANGIO,5°1°
EEM 6 - D.E. 1 - PADRE CARLOS MUJICA,5°1°
EEM 6 - D.E. 1 - PADRE CARLOS MUJICA,5°1°
EEM 6 - D.E. 5,5°1°
EEM 6 - D.E. 19,5°1°
EEM 7 - D.E. 4 - ESCUELA DE LA RIBERA,5°1°
EEM 7 - D.E. 9 - MARIA CLAUDIA FALCONE,5°1°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°2°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°2°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°2°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°2°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°2°
COLEGIO 3 - MARIANO MORENO,5°2°
COLEGIO 4 - NICOLAS AVELLANEDA,5°2°
COLEGIO 4 - NICOLAS AVELLANEDA,5°2°
COLEGIO 4 - NICOLAS AVELLANEDA,5°2°
COLEGIO 5 - BARTOLOME MITRE,5°2°
COLEGIO 5 - BARTOLOME MITRE,5°2°
COLEGIO 6 - MANUEL BELGRANO,5°2°
COLEGIO 6 - MANUEL BELGRANO,5°2°
COLEGIO 7 - J. M. PUEYRREDON,5°2°
COLEGIO 7 - J. M. PUEYRREDON,5°2°
COLEGIO 7 - J. M. PUEYRREDON,5°2°
COLEGIO 8 - JULIO ROCA,5°2°
COLEGIO 8 - JULIO ROCA,5°2°
COLEGIO 9 - JUSTO J. URQUIZA,5°2°
COLEGIO 9 - JUSTO J. URQUIZA,5°2°
COLEGIO 9 - JUSTO J. URQUIZA,5°2°
COLEGIO 10 - JOSE DE SAN MARTIN,5°2°
COLEGIO 10 - JOSE DE SAN MARTIN,5°2°
COLEGIO 11 - HIPOLITO YRIGOYEN,5°2°
COLEGIO 12 - RECONQUISTA,5°2°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°2°
COLEGIO 13 - CNEL. TOMAS ESPORA,5°2°
COLEGIO 14 - JUAN JOSE PASO,5°2°
COLEGIO 15 - REVOLUCION DE MAYO,5°2°
COLEGIO 16 - G. RAWSON,5°2°
COLEGIO 17 - PRIMERA JUNTA,5°2°
COLEGIO 18 - DR. A. LARROQUE,5°2°
COLEGIO 18 - DR. A. LARROQUE,5°2°
COLEGIO 19 - LUIS PASTEUR,5°2°
LICEO 1 - J. FIGUEROA ALCORTA,5°2°
LICEO 1 - J. FIGUEROA ALCORTA,5°2°
LICEO 2 - AMANCIO ALCORTA,5°2°
LICEO 3 - J.M. DE ESTRADA,5°2°
LICEO 3 - J.M. DE ESTRADA,5°2°
LICEO 4 - R.E. SAN MARTIN,5°2°
LICEO 5 - P. GUAGLIANONE,5°2°
LICEO 5 - P. GUAGLIANONE,5°2°
LICEO 7 - D. FAUSTINO SARMIENTO,5°2°
LICEO 8 - E. ECHEVERRIA,5°2°
LICEO 8 - E. ECHEVERRIA,5°2°
LICEO 9 - SANTIAGO DERQUI,5°2°
LICEO 9 - SANTIAGO DERQUI,5°2°
LICEO 10 - RICARDO ROJAS,5°2°
LICEO 10 - RICARDO ROJAS,5°2°
LICEO 11 - CORNELIO SAAVEDRA,5°2°
LICEO 12 - FRAY M.ESQUIU,5°2°
LICEO 12 - FRAY M.ESQUIU,5°2°
ESC. DE COMERCIO 1 - JOAQUIN V. GONZALEZ,5°2°
ESC. DE COMERCIO 2 - DR. A. BERMEJO,5°2°
ESC. DE COMERCIO 2 - DR. A. BERMEJO,5°2°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°2°
ESC. DE COMERCIO 3 - HIPOLITO VIEYTES,5°2°
