nombreEscuela,seccionEscuela
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°2° TN/V
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°2° TT
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°3° TM
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°3° TN/V
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°3° TT
Colegio Nº 08 DE 10 Julio Argentino Roca,5°3° TT
Colegio Nº 08 DE 10 Julio Argentino Roca,5°1° TM
Colegio Nº 08 DE 10 Julio Argentino Roca,5°1° TT
Colegio Nº 08 DE 10 Julio Argentino Roca,5°2° TM
Colegio Nº 08 DE 10 Julio Argentino Roca,5°2° TT
Colegio Nº 08 DE 10 Julio Argentino Roca,5°3° TM
Colegio Nº 08 DE 10 Julio Argentino Roca,5°4° TM
Colegio Nº 08 DE 10 Julio Argentino Roca,5°5° TM
Colegio Nº 09 DE 12 Justo José De Urquiza,5°1° TM
Colegio Nº 09 DE 12 Justo José De Urquiza,5°1° TN/V
Colegio Nº 09 DE 12 Justo José De Urquiza,5°1° TT
Colegio Nº 09 DE 12 Justo José De Urquiza,5°2° TM
Colegio Nº 09 DE 12 Justo José De Urquiza,5°2° TN/V
Colegio Nº 09 DE 12 Justo José De Urquiza,5°2° TT
Colegio Nº 09 DE 12 Justo José De Urquiza,5°3° TM
Colegio Nº 09 DE 12 Justo José De Urquiza,5°3° TN/V
Colegio Nº 09 DE 12 Justo José De Urquiza,5°4° TM
Colegio Nº 09 DE 12 Justo José De Urquiza,5°4° TT
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°1° TM
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°2° TM
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°3° TT
Esc. de Educación Media Nº 01 DE 12 Julio Cortazar,5°4° TT
Esc. de Educación Media Nº 01 DE 13 Manuel Mujica Lainez,5°1° TN/V
Esc. de Educación Media Nº 01 DE 13 Manuel Mujica Lainez,5°2° TN/V
Esc. de Educación Media Nº 01 DE 14 Federico García Lorca,5°1° TT
Esc. de Educación Media Nº 01 DE 14 Federico García Lorca,5°2° TM
Esc. de Educación Media Nº 01 DE 14 Federico García Lorca,5°3° TM
Esc. de Educación Media Nº 01 DE 16 Rodolfo Walsh,5°1° TM
Esc. de Educación Media Nº 01 DE 16 Rodolfo Walsh,5°2° TT
Esc. de Educación Media Nº 01 DE 16 Rodolfo Walsh,5°3° TM
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°A TV
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°B TV
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°C TM
Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,5°D TM
Esc. de Educación Media Nº 01 DE 21,5°1° TT
Esc. de Educación Media Nº 01 DE 21,5°2° TT
