nombreEscuela,seccionEscuela,orientacionSeccion,matriculaSeccion
Esc. de Educación Media Nº 02 DE 13,5°2° TM,Agro y Ambiente,16
Esc. de Educación Media Nº 02 DE 14 Argentinos Juniors,5°1° TM,Comunicación,24
Esc. de Educación Media Nº 02 DE 14 Argentinos Juniors,5°2° TT,Comunicación,23
Esc. de Educación Media Nº 02 DE 16 Agustín Tosco,5°1° TM,Cs. Soc y Humanidades,19
Esc. de Educación Media Nº 02 DE 16 Agustín Tosco,5°2° TM,Cs. Soc y Humanidades,22
Esc. de Educación Media Nº 02 DE 16 Agustín Tosco,5°3° TT,Cs. Soc y Humanidades,32
Esc. de Educación Media Nº 02 DE 17 Rumania,5°1° TM,Economía y Administración,14
Esc. de Educación Media Nº 02 DE 17 Rumania,5°2° TM,Comunicación,24
Esc. de Educación Media Nº 02 DE 17 Rumania,5°3° TT,Economía y Administración,15
Esc. de Educación Media Nº 02 DE 17 Rumania,5°4° TT,Comunicación,16
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°1° TM,Comunicación,27
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°1° TT,Comunicación,21
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°1° TV/TN,Comunicación,
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°2° TM,Economía y Administración,35
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°2° TT,Economía y Administración,20
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°2° TV/TN,Comunicación,
Esc. de Educación Media Nº 02 DE 20,5°1° TM,Cs. Soc y Humanidades,27
Esc. de Educación Media Nº 02 DE 20,5°2° TT,Cs. Soc y Humanidades,21
Esc. de Educación Media Nº 02 DE 20,5°3° TM,Turismo,23
Esc. de Educación Media Nº 02 DE 20,5°4° TT,Turismo,24
Esc. de Educación Media Nº 03 DE 04,5°1° TM,Cs. Soc y Humanidades,24
Esc. de Educación Media Nº 03 DE 04,5°1° TT,Cs. Soc y Humanidades,22
Esc. de Educación Media Nº 03 DE 04,5°2° TM,Cs. Soc y Humanidades,24
Esc. de Educación Media Nº 03 DE 04,5°2° TT,Cs. Soc y Humanidades,21
Esc. de Educación Media Nº 03 DE 07 Osvaldo Pugliese,5°1° TM,Comunicación,19
Esc. de Educación Media Nº 03 DE 07 Osvaldo Pugliese,5°2° TM,Artes Visuales,22
Esc. de Educación Media Nº 03 DE 10,5°1° TT,Cs. Soc y Humanidades,19
Esc. de Educación Media Nº 03 DE 10,5°2° TT,Cs. Soc y Humanidades,21
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°1° TM,Economía y Administración,25
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°2° TM,Economía y Administración,27
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°3° TT,Economía y Administración,20
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°4° TT,Economía y Administración,16
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°1° TM,Comunicación,22
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°2° TT,Economía y Administración,12
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°3° TM,Economía y Administración,22
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°4° TT,Comunicación,12
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°7° TV/TN,Comunicación,
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°1° TM,Cs. Soc y Humanidades,19
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°2° TM,Cs. Soc y Humanidades,19
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°3° TT,Cs. Soc y Humanidades,24
Esc. de Educación Media Nº 04 DE 19 Homero Manzi,5°4° TT,Cs. Soc y Humanidades,26
Esc. de Educación Media Nº 04 DE 21,5°A TV,Cs. Soc y Humanidades,
Esc. de Educación Media Nº 04 DE 21,5°B TV,Economía y Administración,
Esc. de Educación Media Nº 05 DE 10 Héroes de Malvinas,5°1° TM,Economía y Administración,24
Esc. de Educación Media Nº 05 DE 10 Héroes de Malvinas,5°2° TM,Economía y Administración,26
Esc. de Educación Media Nº 05 DE 10 Héroes de Malvinas,5°3° TT,Economía y Administración,21
Esc. de Educación Media Nº 05 DE 15 Mons. Enrique Angelelli,5°3° TM,Economía y Administración,24
Esc. de Educación Media Nº 05 DE 15 Mons. Enrique Angelelli,5°3° TT,Ed. Física,18
Esc. de Educación Media Nº 05 DE 19,5°1° TT,Informática,23
Esc. de Educación Media Nº 05 DE 19,5°2° TT,Informática,21
Esc. de Educación Media Nº 05 DE 21 Juan Manuel Fangio,5°1° TV/TN,Economía y Administración,
Esc. de Educación Media Nº 05 DE 21 Juan Manuel Fangio,5°2° TV/TN,Economía y Administración,
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°1° TV/TN,Economía y Administración,
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°1° TV/TN,Economía y Administración,
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°A TM,Cs. Soc y Humanidades,20
Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,5°B TM,Cs. Soc y Humanidades,18
Esc. dE Educación Media Nº 06 DE 05,5°1° TT,Ed. Física,23
Esc. dE Educación Media Nº 06 DE 05,5°2° TT,Artes Musica,9
Esc. dE Educación Media Nº 06 DE 05,5°A TM,Ed. Física,21
Esc. dE Educación Media Nº 06 DE 05,5°B TM,Artes Musica,15
Esc. de Educación Media Nº 06 DE 19,5°1° TV/TN,Ed. Física,21
Esc. de Educación Media Nº 06 DE 19,5°2° TV/TN,Ed. Física,20
Esc. de Educación Media Nº 07 DE 04 Escuela De La Ribera,5°1° TV/TN,Economía y Administración,
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°1° TM,Comunicación,24
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°2° TT,Comunicación,25
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°3° TM,Comunicación,25
Esc. de Educación Media Nº 07 DE 09 María Claudia Falcone,5°4° TT,Comunicación,23
Liceo Comercial Nº 03 DE 05 José Manuel Estrada,5°1° TT,Cs. Soc y Humanidades,19
Liceo Comercial Nº 03 DE 05 José Manuel Estrada,5°1° TT,Economía y Administración,18
Liceo Comercial Nº 03 DE 05 José Manuel Estrada,5°2° TT,Cs. Soc y Humanidades,18
Liceo Comercial Nº 03 DE 05 José Manuel Estrada,5°2° TT,Economía y Administración,18
Liceo Nº 01 DE 02 Jose Figueroa Alcorta,5°1° TM,Cs. Naturales,24
Liceo Nº 01 DE 02 Jose Figueroa Alcorta,5°1° TT,Cs. Naturales,25
Liceo Nº 01 DE 02 Jose Figueroa Alcorta,5°2° TM,Cs. Soc y Humanidades,23
Liceo Nº 01 DE 02 Jose Figueroa Alcorta,5°2° TT,Cs. Soc y Humanidades,21
Liceo Nº 01 DE 02 Jose Figueroa Alcorta,5°3° TM,Cs. Naturales,24
Liceo Nº 01 DE 02 Jose Figueroa Alcorta,5°3° TT,Cs. Soc y Humanidades,22
Liceo Nº 02 DE 08 Amancio Alcorta,5°1° TT,Turismo,22
Liceo Nº 02 DE 08 Amancio Alcorta,5°2° TT,Turismo,23
Liceo Nº 02 DE 08 Amancio Alcorta,5°3° TT,Turismo,18
Liceo Nº 02 DE 08 Amancio Alcorta,5°4° TT,Cs. Naturales,26
Liceo Nº 02 DE 08 Amancio Alcorta,5°5° TT,Cs. Naturales,25
Liceo Nº 04 DE 01 Remedios de Escalada de San Martin,5°1° TT,Cs. Soc y Humanidades,19
Liceo Nº 04 DE 01 Remedios de Escalada de San Martin,5°2° TT,Cs. Naturales,18
Liceo Nº 04 DE 01 Remedios de Escalada de San Martin,5°3° TT,Economía y Administración,16
Liceo Nº 04 DE 01 Remedios de Escalada de San Martin,5°4° TT,Economía y Administración,22
Liceo Nº 04 DE 01 Remedios de Escalada de San Martin,5°5° TT,Cs. Soc y Humanidades,24
Liceo Nº 04 DE 01 Remedios de Escalada de San Martin,5°6° TT,Cs. Naturales,13
Liceo Nº 05 DE 11 Pascual Guaglianone,5°1° TM,Cs. Naturales,23
Liceo Nº 05 DE 11 Pascual Guaglianone,5°1° TT,Cs. Naturales,26
Liceo Nº 05 DE 11 Pascual Guaglianone,5°2° TM,Cs. Naturales,25
Liceo Nº 05 DE 11 Pascual Guaglianone,5°2° TT,Cs. Naturales,21
Liceo Nº 07 DE 01 Domingo Faustino Sarmiento,5°1° TV/TN,Cs. Naturales,11
Liceo Nº 07 DE 01 Domingo Faustino Sarmiento,5°2° TV/TN,Cs. Soc y Humanidades,8
Liceo Nº 07 DE 01 Domingo Faustino Sarmiento,5°3° TV/TN,Cs. Soc y Humanidades,8
Liceo Nº 07 DE 01 Domingo Faustino Sarmiento,5°4° TV/TN,Cs. Naturales,9
Liceo Nº 08 DE 13 Esteban Echeverria,5°1° TM,Cs. Soc y Humanidades,26
Liceo Nº 08 DE 13 Esteban Echeverria,5°1° TT,Cs. Soc y Humanidades,21
Liceo Nº 08 DE 13 Esteban Echeverria,5°2° TM,Cs. Naturales,22
Liceo Nº 08 DE 13 Esteban Echeverria,5°2° TT,Cs. Naturales,22
Liceo Nº 08 DE 13 Esteban Echeverria,PLAN 5810,PLAN 5810/19,
Liceo Nº 09 DE 10 Santiago Derqui,5°1° TM,Cs. Soc y Humanidades,24
Liceo Nº 09 DE 10 Santiago Derqui,5°1° TT,Cs. Soc y Humanidades,26
Liceo Nº 09 DE 10 Santiago Derqui,5°2° TM,Cs. Naturales,20
Liceo Nº 09 DE 10 Santiago Derqui,5°2° TT,Cs. Naturales,16
Liceo Nº 09 DE 10 Santiago Derqui,5°3° TM,Artes Visuales,25
Liceo Nº 09 DE 10 Santiago Derqui,5°3° TT,Artes Visuales,23
Liceo Nº 10 DE 06 Ricardo Rojas,5°1° TM,Cs. Naturales,17
Liceo Nº 10 DE 06 Ricardo Rojas,5°1° TT,Educación,19
Liceo Nº 10 DE 06 Ricardo Rojas,5°2° TM,Economía y Administración,19
Liceo Nº 10 DE 06 Ricardo Rojas,5°2° TT,Economía y Administración,17
Liceo Nº 11 DE 15 Cornelio Saavedra,5°1° TT,Cs. Soc y Humanidades,16
Liceo Nº 11 DE 15 Cornelio Saavedra,5°2° TT,Cs. Naturales,22
Liceo Nº 12 DE 08 Fray Mamerto Esquiú,5°1° TM,Cs. Soc y Humanidades,17
Liceo Nº 12 DE 08 Fray Mamerto Esquiú,5°1° TT,Cs. Soc y Humanidades,22
Liceo Nº 12 DE 08 Fray Mamerto Esquiú,5°2° TM,Cs. Naturales,29
Liceo Nº 12 DE 08 Fray Mamerto Esquiú,5°2° TT,Cs. Naturales,19
Liceo Nº 12 DE 08 Fray Mamerto Esquiú,5°3° TM,Cs. Soc y Humanidades,19
Liceo Nº 12 DE 08 Fray Mamerto Esquiú,5°4° TM,Cs. Naturales,23
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°1° TM,Cs. Naturales,24
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°2° TM,Matemática y Física,18
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°3° TM,Comunicación,30
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°4° TM,Educación,31
ENS En Lenguas Vivas Nº 01 Pte Roque Sáenz Peña DE 01,5°5° JC,Lenguas extranjeras,22
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°1° TM,Cs. Naturales,17
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°2° TM,Educación,30
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°3° TT,Cs. Naturales,20
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°4° TT,Educación,17
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°5° TM,Matemática y Física,23
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°6° TT,Matemática y Física,31
ENS En Lenguas Vivas Nº 02 Mariano Acosta DE 06,5°7° TM,Cs. Soc y Humanidades,31
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°1° TM,Literatura,31
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°2° TM,Cs. Soc y Humanidades,29
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°3° TM,Cs. Naturales,24
ENS En Lenguas Vivas Sofía Esther B. De Spangenberg DE 01,5°4° JC,Lenguas extranjeras,26
ENS Nº 03 Bernardino Rivadavia DE 04,5°1° TM,Educación,11
ENS Nº 03 Bernardino Rivadavia DE 04,5°2° TM,Educación,19
ENS Nº 03 Bernardino Rivadavia DE 04,5°3° TM,Cs. Naturales,20
ENS Nº 03 Bernardino Rivadavia DE 04,5°4° TM,Turismo,14
ENS Nº 04 Estanislao S. Zeballos DE 08,5°1° TM,Matemática y Física,26
ENS Nº 04 Estanislao S. Zeballos DE 08,5°2° TM,Cs. Naturales,16
ENS Nº 04 Estanislao S. Zeballos DE 08,5°3° TM,Literatura,23
ENS Nº 04 Estanislao S. Zeballos DE 08,5°4° TM,Literatura,16
ENS Nº 04 Estanislao S. Zeballos DE 08,5°5° TM,Educación,21
ENS Nº 04 Estanislao S. Zeballos DE 08,5°6° TM,Cs. Naturales,18
ENS Nº 04 Estanislao S. Zeballos DE 08,5°7° TM,Educación,25
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°1° TM,Comunicación,27
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°2° TM,Educación,16
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°3° TM,Matemática y Física,16
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°4° TM,Cs. Naturales,15
ENS Nº 05 Gral. Martín Miguel Guemes DE 05,5°5° TM,Educación,18
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°1° TM,Educación,25
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°2° TM,Matemática y Física,17
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°3° TM,Comunicación,28
ENS Nº 06 Vicente Lopez Y Planes DE 02,5°4° TM,Cs. Naturales,21
ENS Nº 07 José María Torres DE 02,5°1° TM,Cs. Soc y Humanidades,23
ENS Nº 07 José María Torres DE 02,5°2° TM,Cs. Naturales,20
ENS Nº 07 José María Torres DE 02,5°3° TM,Educación,15
ENS Nº 07 José María Torres DE 02,5°4° TM,Educación,17
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°1° TM,Educación,27
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°2° TM,Cs. Naturales,28
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°3° TM,Matemática y Física,29
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°4° TT,Cs. Soc y Humanidades,30
ENS Nº 08 Pte. Julio Argentino Roca DE 06,5°5°.TT,Cs. Naturales,15
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°1° TM,Educación,24
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°2° TM,Cs. Naturales,22
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°3° TM,Turismo,28
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°4° TM,Educación,8
ENS Nº 09 Domingo Faustino Sarmiento DE 01,5°5° TT,Comunicación,32
ENS Nº 10 Juan Bautista Alberdi DE 10,5°1° TM,Educación,15
ENS Nº 10 Juan Bautista Alberdi DE 10,5°2° TM,Cs. Soc y Humanidades,18
ENS Nº 10 Juan Bautista Alberdi DE 10,5°3° TM,Cs. Soc y Humanidades,24
ENS Nº 10 Juan Bautista Alberdi DE 10,5°4° TM,Cs. Soc y Humanidades,15
ENS Nº 10 Juan Bautista Alberdi DE 10,5°5° TM,Cs. Naturales,14
ENS Nº 10 Juan Bautista Alberdi DE 10,5°6° TM,Cs. Naturales,15
ENS Nº 10 Juan Bautista Alberdi DE 10,5°7° TM,Educación,11
ENS Nº 11 Dr. Ricardo Levene DE 06,5°1° TM,Educación,24
ENS Nº 11 Dr. Ricardo Levene DE 06,5°2°.TM,Cs. Soc y Humanidades,31
ENS Nº 11 Dr. Ricardo Levene DE 06,5°3° TT,Educación,30
ENS Nº 11 Dr. Ricardo Levene DE 06,5°4° TT,Cs. Naturales,28
IES Juan B.Justo DE 17,5°1° TM,Cs. Soc y Humanidades,31
IES Juan B.Justo DE 17,5°1° TT,Cs. Soc y Humanidades,28
IES Lenguas Vivas Juan Ramón Fernández DE 01,5°1° TM,Lenguas,31
IES Lenguas Vivas Juan Ramón Fernández DE 01,5°2° JC,Lenguas extranjeras,26
IES Lenguas Vivas Juan Ramón Fernández DE 01,5°3° TM,Cs. Soc y Humanidades,29
IES Lenguas Vivas Juan Ramón Fernández DE 01,5°4° TM,Matemática y Física,30
"Escuela Superior de Educación Artística  en Danza Nº 2 ""Jorge Donn"" DE 18",5°1° TM,Arte-Danza / Educación,13
"Escuela Superior de Educación Artística  en Danza Nº 2 ""Jorge Donn"" DE 18",5°2° TM,Arte-Danza / Educación,15
"Escuela Superior de Educación Artística  en Danza Nº 2 ""Jorge Donn"" DE 18",5°3° TT,Arte-Danza / Educación,5
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 21",5°A TM,Arte - Artes visuales / Educación,17
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 21",5°B TT,Arte - Artes visuales / Educación,19
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 21",5°C TM,Arte - Artes visuales / Educación,19
"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 21",5°D TT,Arte - Artes visuales / Educación,18
"Escuela Superior de Educación Artística en Artes Visuales ""Manuel Belgrano"" DE 04",5°1° TM,Arte - Artes visuales,25
"Escuela Superior de Educación Artística en Artes Visuales ""Manuel Belgrano"" DE 04",5°2° TT,Arte - Artes visuales,25
"Escuela Superior de Educación Artística en Artes Visuales ""Rogelio Yrurtia"" DE 13",5°1° TM,Arte - Artes visuales / Educación,21
"Escuela Superior de Educación Artística en Artes Visuales ""Rogelio Yrurtia"" DE 13",5°1° TT,Arte - Artes visuales / Educación,39
"Escuela Superior de Educación Artística en Artes Visuales ""Rogelio Yrurtia"" DE 13",5°2° TT,Arte - Artes visuales / Educación,38
"Escuela Superior de Educación Artística en Cerámica ""Fernando Arranz"" DE 18",5°1° TM,Arte-Cerámica,22
"Escuela Superior de Educación Artística en Cerámica ""Fernando Arranz"" DE 18",5°2° TT,Arte-Cerámica,18
Escuela Superior de Educación Artística en Cerámica N° 1 DE 02,5° 1 TM,Arte-Cerámica,18
Escuela Superior de Educación Artística en Cerámica N° 1 DE 02,5°2° TM,Arte-Cerámica,16
Escuela Superior de Educación Artística en Cerámica N° 1 DE 02,5°3° TT,Arte-Cerámica,19
"Escuela Superior de Educación Artística en Danza ""Aída Victoria Mastrazzi"" DE 01",5°1° TM,Arte-Danza / Arte - Teatro,28
"Escuela Superior de Educación Artística en Danza ""Aída Victoria Mastrazzi"" DE 01",5°2° TT,Arte-Danza / Arte - Teatro,25
"Escuela Superior de Educación Artística en Danza N°1 ""Prof. Nelly Ramicone"" DE 20",5°1° TM,Arte-Danza / Educación,28
"Escuela Superior de Educación Artística en Danza N°1 ""Prof. Nelly Ramicone"" DE 20",5°2° TM,Arte-Danza / Educación,20
"Escuela Superior de Educación Artística en Danza N°1 ""Prof. Nelly Ramicone"" DE 20",5°3° TM,Arte-Danza / Educación,14
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 15",5°1° TM,Arte - Música / Educación,29
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 15",5°2° TM,Arte - Música / Educación,33
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 15",5°3° TT,Arte - Música / Educación,23
"Escuela Superior de Educación Artística en Música ""Juan Pedro Esnaola"" DE 15",5°4° TT,Arte - Música / Educación,22
Escuela Superior de Educación Artística en Teatro Nini Marshall DE 13,5°1° TT,Arte - Teatro / Educación,38
